FIRST NAME,LAST NAME,SEX,DOJ,CURRENT DATE,DESIGNATION,AGE,SALARY,UNIT,LEAVES USED,LEAVES REMAINING,RATINGS,PAST EXP
ISABELLE,ANGERMAN,F,4-19-2013,01-07-2016,Analyst,24.0,49705,Management,28.0,2.0,3.0,0
NORBERT,AHALT,M,3-27-2014,01-07-2016,Analyst,21.0,40095,Management,19.0,11.0,3.0,0
PAULINE,ALTSHULER,F,12-13-2014,01-07-2016,Senior Analyst,28.0,61647,Finance,28.0,2.0,4.0,3
JANETTE,ANEZ,F,8-17-2014,01-07-2016,Analyst,21.0,42811,Marketing,22.0,8.0,3.0,0
CHARLENE,AMANO,F,12-25-2013,01-07-2016,Analyst,25.0,47365,Finance,15.0,15.0,2.0,2
HOWARD,ABDELWAHED,M,8-20-2013,01-07-2016,Analyst,22.0,45721,Operations,18.0,12.0,5.0,0
PAUL,AANENSON,M,07-05-2013,01-07-2016,Analyst,25.0,49976,Web,25.0,5.0,2.0,1
CORTEZ,ALLINDER,M,4-19-2013,01-07-2016,Analyst,21.0,42650,Marketing,21.0,9.0,2.0,0
AHMAD,ALCANTARA,M,1-18-2015,01-07-2016,Analyst,25.0,44632,Management,27.0,3.0,3.0,3
JONAH,ALEWINE,M,7-28-2014,01-07-2016,Analyst,25.0,48389,Operations,15.0,15.0,3.0,3
DARIN,AFABLE,M,10-22-2013,01-07-2016,Analyst,21.0,48665,Operations,18.0,12.0,2.0,0
ALONSO,ALMANZA,M,04-05-2013,01-07-2016,Associate,31.0,72886,Management,21.0,9.0,4.0,6
RENE,ANKLAM,F,06-08-2014,01-07-2016,Analyst,21.0,45225,IT,28.0,2.0,5.0,0
RILEY,AIKINS,M,6-16-2013,01-07-2016,Senior Analyst,25.0,60712,Finance,26.0,4.0,4.0,0
WYATT,ALBERTS,M,10-07-2013,01-07-2016,Analyst,24.0,41290,Operations,17.0,13.0,3.0,1
KIMBERLEE,ARCIGA,F,5-16-2014,01-07-2016,Analyst,21.0,44993,IT,18.0,12.0,2.0,0
KRISTA,AMRICH,F,8-21-2013,01-07-2016,Analyst,24.0,46118,IT,22.0,8.0,4.0,1
MARYJANE,ARES,F,8-24-2012,01-07-2016,Senior Analyst,25.0,65212,Management,29.0,1.0,5.0,1
SAVANNAH,APREA,F,12-20-2011,01-07-2016,Senior Manager,38.0,193621,Operations,19.0,11.0,4.0,9
NATALIE,AMALONG,F,11-25-2013,01-07-2016,Analyst,23.0,44223,Marketing,19.0,11.0,2.0,0
MARY,ALMESTICA,F,10-12-2013,01-07-2016,Senior Analyst,27.0,53339,Finance,26.0,4.0,2.0,1
KAYLA,AMLIN,F,07-07-2014,01-07-2016,Analyst,24.0,43638,Web,29.0,1.0,3.0,1
JULIAN,ACKERLEY,M,06-03-2013,01-07-2016,Analyst,22.0,44963,Marketing,21.0,9.0,2.0,0
JO,AMBLER,F,05-01-2014,01-07-2016,Analyst,21.0,42686,Marketing,22.0,8.0,3.0,0
KASEY,APFEL,F,09-01-2014,01-07-2016,Analyst,21.0,40381,Web,22.0,8.0,2.0,0
IONA,ARGALL,F,05-02-2013,01-07-2016,Analyst,21.0,48461,Finance,15.0,15.0,5.0,0
ALBERTA,AMIS,F,2-15-2013,01-07-2016,Analyst,25.0,46584,Marketing,18.0,12.0,4.0,1
WILMER,AKIONA,M,5-30-2014,01-07-2016,Senior Analyst,25.0,50739,IT,25.0,5.0,3.0,0
MELVIN,ABERNATHA,M,7-28-2014,01-07-2016,Associate,31.0,82083,Management,17.0,13.0,3.0,5
CORA,AMESQUITA,F,12-22-2014,01-07-2016,Analyst,23.0,40324,Operations,27.0,3.0,2.0,1
EVERETT,ACHILLES,M,11-20-2014,01-07-2016,Analyst,23.0,44001,Management,26.0,4.0,3.0,1
DOTTIE,ARDREY,F,8-17-2013,01-07-2016,Analyst,22.0,43059,Management,30.0,0.0,3.0,0
CORINE,APAEZ,F,9-25-2014,01-07-2016,Analyst,24.0,41685,Finance,30.0,0.0,2.0,2
DARIO,ALESSI,M,03-11-2012,01-07-2016,Associate,28.0,95982,Operations,26.0,4.0,4.0,0
HILDA,AMBROSIUS,F,6-17-2013,01-07-2016,Analyst,23.0,44699,Management,26.0,4.0,3.0,0
ELOISA,ARGIE,F,08-07-2013,01-07-2016,Senior Analyst,28.0,52690,Marketing,30.0,0.0,5.0,3
HEIDI,AMAZAN,F,2-15-2014,01-07-2016,Analyst,21.0,40041,Management,18.0,12.0,4.0,0
KATELYN,APPENZELLER,F,11-02-2014,01-07-2016,Senior Analyst,28.0,56314,Finance,16.0,14.0,5.0,3
WILLIS,ADAN,M,2-16-2014,01-07-2016,Analyst,25.0,49785,Operations,26.0,4.0,3.0,2
RUTH,ALO,F,11-21-2013,01-07-2016,Analyst,24.0,41284,Web,29.0,1.0,5.0,1
JOSEFA,APPLEWHAITE,F,5-19-2014,01-07-2016,Analyst,22.0,40562,Finance,26.0,4.0,5.0,0
OSCAR,ABLING,M,08-01-2013,01-07-2016,Analyst,22.0,46741,Operations,30.0,0.0,2.0,0
ROOSEVELT,ADES,M,02-12-2014,01-07-2016,Analyst,24.0,45100,Operations,28.0,2.0,2.0,1
MARVIN,ABELS,M,9-15-2014,01-07-2016,Analyst,22.0,41712,IT,23.0,7.0,5.0,0
MARCELLA,AMY,F,5-17-2014,01-07-2016,Analyst,24.0,47069,Operations,20.0,10.0,4.0,1
KARL,ACCETTURO,M,4-19-2013,01-07-2016,Analyst,25.0,40460,Web,28.0,2.0,3.0,1
WALTER,ABATE,M,2-26-2013,01-07-2016,Analyst,24.0,47068,Finance,28.0,2.0,4.0,0
ELIZA,ANSBACHER,F,9-30-2013,01-07-2016,Senior Analyst,25.0,50813,Marketing,26.0,4.0,2.0,0
YONG,ALDERFER,M,4-22-2010,01-07-2016,Manager,33.0,129191,Operations,22.0,8.0,4.0,3
CARI,ARENALES,F,04-10-2014,01-07-2016,Senior Analyst,28.0,66338,Web,24.0,6.0,3.0,5
ALVA,ALAMPI,M,12-19-2014,01-07-2016,Analyst,24.0,46749,Operations,28.0,2.0,5.0,2
REINA,ARMAGOST,F,10-15-2011,01-07-2016,Manager,33.0,108665,Finance,15.0,15.0,2.0,6
ERICKA,ANTHONY,F,12-06-2012,01-07-2016,Associate,32.0,76964,Management,23.0,7.0,5.0,5
LUIGI,ALLYNE,M,12-19-2013,01-07-2016,Analyst,24.0,47417,Marketing,21.0,9.0,3.0,1
JEFFEREY,ALEXY,M,4-16-2014,01-07-2016,Analyst,21.0,47669,IT,25.0,5.0,5.0,0
ROBERT,ARCAND,F,6-16-2014,01-07-2016,Analyst,21.0,40318,Finance,20.0,10.0,3.0,0
HAYWOOD,ALKINS,M,09-01-2013,01-07-2016,Analyst,23.0,46743,IT,17.0,13.0,2.0,0
STAN,AGRESTO,M,05-08-2014,01-07-2016,Analyst,25.0,40060,Management,20.0,10.0,2.0,2
BETTIE,ANDUJAR,F,10-20-2013,01-07-2016,Analyst,25.0,46129,Management,20.0,10.0,3.0,2
ALLAN,ACEVES,M,04-09-2013,01-07-2016,Senior Manager,38.0,189435,Marketing,19.0,11.0,4.0,10
ELEANORE,ARENA,F,3-20-2013,01-07-2016,Senior Analyst,26.0,62537,Management,27.0,3.0,2.0,0
ERIC,ABAJIAN,M,9-17-2013,01-07-2016,Analyst,24.0,44145,Management,17.0,13.0,5.0,1
LEIGH,ANAWALT,F,10-02-2014,01-07-2016,Analyst,22.0,47998,Marketing,23.0,7.0,5.0,0
ARON,ALBOR,M,1-17-2014,01-07-2016,Analyst,25.0,49310,Marketing,16.0,14.0,2.0,2
KAREN,ALMSTEAD,F,3-21-2014,01-07-2016,Analyst,24.0,49235,Management,17.0,13.0,4.0,1
KENDRICK,AHIMUD,M,4-26-2013,01-07-2016,Senior Analyst,26.0,68245,Finance,26.0,4.0,3.0,0
LAKESHA,ARDEN,F,10-19-2014,01-07-2016,Analyst,23.0,47498,Finance,25.0,5.0,5.0,1
JUNIOR,AGORAS,M,11-30-2014,01-07-2016,Analyst,25.0,40636,Finance,26.0,4.0,4.0,3
ERNESTINE,AMUSO,F,01-03-2013,01-07-2016,Analyst,25.0,45233,Operations,25.0,5.0,4.0,1
TERESITA,ARENTZ,F,11-03-2013,01-07-2016,Senior Analyst,27.0,53275,Finance,16.0,14.0,4.0,4
ESTHER,ALTSCHULER,F,7-18-2013,01-07-2016,Analyst,24.0,43540,Web,17.0,13.0,5.0,1
BERRY,ALDONZA,M,1-20-2015,01-07-2016,Analyst,21.0,40275,Management,30.0,0.0,5.0,0
WENDELL,ACREE,M,12-11-2013,01-07-2016,Analyst,21.0,44361,Web,28.0,2.0,5.0,0
RUBEN,ABSHEAR,M,5-20-2013,01-07-2016,Analyst,25.0,41936,Web,16.0,14.0,2.0,1
PATTIE,ARGUIN,F,4-13-2013,01-07-2016,Analyst,21.0,45830,Finance,25.0,5.0,5.0,0
ISABEL,AMICI,F,7-23-2013,01-07-2016,Analyst,23.0,44521,Web,28.0,2.0,3.0,0
BRODERICK,ALMERICO,M,08-04-2014,01-07-2016,Analyst,22.0,45997,Management,18.0,12.0,3.0,0
JEREMY,ABDELLA,M,12-07-2013,01-07-2016,Analyst,25.0,44218,Finance,19.0,11.0,2.0,2
KELLI,AMORIELLO,F,10-07-2013,01-07-2016,Manager,35.0,140926,Finance,28.0,2.0,2.0,12
MARIETTA,APPLEBAUM,F,09-03-2014,01-07-2016,Analyst,21.0,48886,Operations,23.0,7.0,3.0,0
CHADWICK,ALATOSSE,M,09-11-2014,01-07-2016,Analyst,23.0,49081,Operations,26.0,4.0,3.0,1
NONA,APODACA,F,2-26-2014,01-07-2016,Analyst,23.0,42195,Operations,28.0,2.0,2.0,0
JON,ABOLT,M,02-01-2013,01-07-2016,Senior Analyst,25.0,50130,Marketing,22.0,8.0,3.0,0
JORDON,ALLARA,M,12-01-2014,01-07-2016,Senior Analyst,25.0,55472,Finance,30.0,0.0,3.0,0
LAWRENCE,ABBOT,M,5-21-2013,01-07-2016,Analyst,25.0,43269,Operations,17.0,13.0,5.0,1
LEANNE,ANNABEL,F,9-23-2013,01-07-2016,Analyst,22.0,43712,Operations,17.0,13.0,2.0,0
LES,ALCIVAR,M,12-07-2014,01-07-2016,Analyst,25.0,42377,Marketing,24.0,6.0,5.0,3
DEIDRA,ARCHANGEL,F,10-05-2012,01-07-2016,Senior Analyst,28.0,69316,Operations,24.0,6.0,3.0,0
GERI,ARDENEAUX,F,8-27-2013,01-07-2016,Analyst,23.0,46418,Marketing,29.0,1.0,2.0,0
MANUAL,ALLFORD,M,8-14-2014,01-07-2016,Senior Analyst,28.0,65566,Marketing,17.0,13.0,3.0,5
CELESTINE,ARGIRO,F,10-19-2013,01-07-2016,Analyst,24.0,48976,Finance,25.0,5.0,2.0,1
JAVIER,ACEDO,M,4-15-2013,01-07-2016,Analyst,23.0,43760,Marketing,24.0,6.0,4.0,0
CAREN,ARGO,F,5-20-2013,01-07-2016,Analyst,22.0,41047,Operations,21.0,9.0,4.0,0
DEBBIE,ALUARADO,F,12-08-2013,01-07-2016,Analyst,25.0,43225,Operations,30.0,0.0,2.0,2
MICHAEL,AAGAARD,M,1-21-2015,01-07-2016,Analyst,22.0,42361,Marketing,25.0,5.0,2.0,0
MARLENE,AMAYA,F,9-15-2014,01-07-2016,Analyst,22.0,43835,Management,26.0,4.0,4.0,0
HESTER,ARAGAO,F,02-07-2014,01-07-2016,Analyst,25.0,47326,Operations,24.0,6.0,5.0,2
ULYSSES,AILTS,M,9-28-2012,01-07-2016,Senior Analyst,25.0,61221,Marketing,19.0,11.0,3.0,0
INES,ARB,F,12-30-2013,01-07-2016,Analyst,21.0,42943,Finance,17.0,13.0,4.0,0
JESSE,ABDULKARIM,M,09-04-2013,01-07-2016,Analyst,23.0,48751,Operations,24.0,6.0,3.0,0
CLAY,AERTS,M,6-22-2013,01-07-2016,Analyst,22.0,42136,Finance,23.0,7.0,4.0,0
MERCEDES,ANASTASI,F,6-24-2013,01-07-2016,Analyst,21.0,42472,Web,27.0,3.0,5.0,0
BRANDON,ABBY,M,3-23-2013,01-07-2016,Analyst,22.0,46677,IT,26.0,4.0,4.0,0
BILL,ABOSHIHATA,M,12-03-2014,01-07-2016,Analyst,25.0,45977,Web,28.0,2.0,5.0,3
ALFREDO,ACHZIGER,M,11-25-2014,01-07-2016,Analyst,25.0,41345,Web,18.0,12.0,5.0,3
NICOLE,ALSOBROOK,F,6-27-2010,01-07-2016,Director,41.0,323196,Marketing,23.0,7.0,3.0,10
GOLDIE,ANERTON,F,10-16-2014,01-07-2016,Analyst,22.0,42727,Marketing,19.0,11.0,2.0,0
ELIAS,ADSIT,M,5-27-2012,01-07-2016,Senior Analyst,25.0,53218,Marketing,18.0,12.0,5.0,0
SUN,ARDIZZONE,F,07-12-2013,01-07-2016,Analyst,21.0,48422,IT,21.0,9.0,3.0,0
BOOKER,AKRIGHT,M,10-14-2013,01-07-2016,Associate,32.0,83066,IT,23.0,7.0,4.0,6
LEEANN,ARCHILA,F,9-22-2013,01-07-2016,Analyst,21.0,41627,Operations,29.0,1.0,2.0,0
DEREK,ABOULISSAN,M,2-13-2013,01-07-2016,Director,42.0,388112,Marketing,27.0,3.0,2.0,18
DAWN,ALTIER,F,11-12-2013,01-07-2016,Analyst,23.0,44469,Web,25.0,5.0,3.0,0
SHELTON,AKUCHIE,M,11-07-2014,01-07-2016,Analyst,24.0,41109,Marketing,23.0,7.0,3.0,2
LEOPOLDO,ALBORN,M,12-03-2014,01-07-2016,Analyst,23.0,43924,Operations,27.0,3.0,4.0,1
DARREN,ACERO,M,12-26-2013,01-07-2016,Senior Analyst,25.0,64232,Operations,23.0,7.0,4.0,2
ARMANDO,ACHENBACH,M,3-23-2013,01-07-2016,Analyst,22.0,49644,Operations,19.0,11.0,2.0,0
DELPHINE,AREVALO,F,1-23-2009,01-07-2016,Director,43.0,284733,Web,15.0,15.0,2.0,11
IDA,ALVIRA,F,3-17-2014,01-07-2016,Analyst,22.0,48802,Operations,20.0,10.0,4.0,0
ALECIA,ARIANO,F,12-13-2013,01-07-2016,Analyst,21.0,41748,IT,21.0,9.0,4.0,0
JUAN,ABBASSI,M,07-01-2013,01-07-2016,Senior Analyst,27.0,61575,Finance,20.0,10.0,2.0,1
YOLANDA,ALWAN,F,12-17-2013,01-07-2016,Analyst,24.0,46062,Marketing,25.0,5.0,3.0,1
EMMA,ALTSISI,F,04-02-2013,01-07-2016,Analyst,25.0,40251,Finance,18.0,12.0,2.0,1
OCTAVIO,ALAMEIDA,M,12-09-2014,01-07-2016,Analyst,21.0,42416,Management,16.0,14.0,2.0,0
LEILA,ANNUNZIATA,F,5-30-2014,01-07-2016,Analyst,22.0,43951,Finance,18.0,12.0,5.0,0
CECIL,ABUD,M,01-10-2014,01-07-2016,Analyst,25.0,47903,Finance,19.0,11.0,2.0,2
CHARLES,ARMSTER,F,05-07-2013,01-07-2016,Analyst,22.0,45275,Operations,27.0,3.0,3.0,0
FELIX,ACHESON,M,9-16-2014,01-07-2016,Senior Analyst,26.0,61046,Finance,28.0,2.0,5.0,1
JAQUELINE,AREHART,F,01-04-2014,01-07-2016,Analyst,25.0,48204,Web,15.0,15.0,4.0,2
GALE,ANNARUMO,F,6-23-2013,01-07-2016,Senior Analyst,27.0,51053,Operations,23.0,7.0,3.0,1
FRANCIS,ABERSON,M,9-28-2014,01-07-2016,Analyst,22.0,42560,Operations,16.0,14.0,2.0,0
TAMMI,APADACA,F,12-02-2014,01-07-2016,Analyst,25.0,40947,Marketing,20.0,10.0,2.0,3
LOUELLA,ARBRY,F,06-04-2012,01-07-2016,Senior Analyst,28.0,68432,IT,30.0,0.0,2.0,0
JOYCE,ALQUIJAY,F,5-28-2014,01-07-2016,Analyst,24.0,44561,Management,24.0,6.0,4.0,1
MARGUERITE,AMICK,F,2-13-2012,01-07-2016,Senior Analyst,26.0,63882,Operations,27.0,3.0,2.0,1
KENTON,ALEXANDRA,M,12-11-2013,01-07-2016,Analyst,23.0,45903,Finance,21.0,9.0,2.0,0
CODY,ACEUEDO,M,01-01-2013,01-07-2016,Analyst,23.0,48470,Web,28.0,2.0,3.0,0
FRANKIE,ANETSBERGER,F,1-28-2014,01-07-2016,Analyst,23.0,45704,Finance,24.0,6.0,4.0,0
MILLICENT,ARAMBOLES,F,12-21-2013,01-07-2016,Senior Analyst,25.0,57064,Management,18.0,12.0,5.0,0
DEE,ALEVEDO,M,4-13-2014,01-07-2016,Analyst,22.0,48546,IT,15.0,15.0,2.0,0
ZELMA,ANTONELLI,F,9-28-2013,01-07-2016,Senior Analyst,28.0,50044,Operations,25.0,5.0,3.0,5
PEARL,AMARA,F,6-24-2013,01-07-2016,Analyst,21.0,41604,Marketing,16.0,14.0,2.0,0
CARIDAD,ARMWOOD,F,06-11-2014,01-07-2016,Analyst,23.0,45022,Finance,23.0,7.0,3.0,0
ELDON,AGOFF,M,09-11-2011,01-07-2016,Manager,33.0,107432,Web,24.0,6.0,4.0,8
SHANDA,ARJONA,F,2-28-2013,01-07-2016,Analyst,24.0,45499,IT,26.0,4.0,4.0,0
HEATH,AGNES,M,04-12-2013,01-07-2016,Analyst,22.0,47846,Marketing,26.0,4.0,2.0,0
ROCIO,ARCURI,F,09-07-2012,01-07-2016,Senior Analyst,28.0,67299,Operations,29.0,1.0,3.0,1
MARJORIE,ALTRECHE,F,11-26-2014,01-07-2016,Analyst,24.0,48047,Web,21.0,9.0,2.0,2
CYRUS,ALANIS,M,12-06-2010,01-07-2016,Senior Manager,36.0,186356,Finance,20.0,10.0,3.0,8
ISABELL,ARKINS,F,11-23-2013,01-07-2016,Analyst,22.0,48539,Operations,26.0,4.0,5.0,0
ROBBIE,ANGUS,F,12-13-2014,01-07-2016,Analyst,22.0,45146,Marketing,18.0,12.0,2.0,0
TIFFANY,ALTIZER,F,02-01-2012,01-07-2016,Senior Analyst,25.0,67321,IT,26.0,4.0,3.0,0
JODIE,ANIELLO,F,10-29-2014,01-07-2016,Analyst,24.0,43137,IT,27.0,3.0,2.0,2
MARCY,ANNICCHIARICO,F,05-03-2013,01-07-2016,Analyst,24.0,46974,Web,30.0,0.0,4.0,0
WILHELMINA,AREND,F,05-03-2013,01-07-2016,Analyst,25.0,48602,Marketing,30.0,0.0,2.0,1
NORA,AMBROZIAK,F,9-23-2013,01-07-2016,Analyst,22.0,43036,Web,25.0,5.0,4.0,0
JAIME,ACHTERHOF,M,07-08-2014,01-07-2016,Analyst,23.0,49318,Finance,17.0,13.0,3.0,0
CHRISTA,ANENE,F,06-10-2013,01-07-2016,Analyst,23.0,48356,Web,19.0,11.0,2.0,0
BRADLEY,ABES,M,6-25-2013,01-07-2016,Analyst,25.0,49894,Operations,22.0,8.0,3.0,1
LUCILE,ANNA,F,12-19-2014,01-07-2016,Analyst,24.0,42344,Marketing,17.0,13.0,4.0,2
LYNDON,ALFREDS,M,1-16-2013,01-07-2016,Analyst,24.0,43343,Web,27.0,3.0,4.0,0
DARA,ARIEL,F,12-29-2013,01-07-2016,Analyst,22.0,47750,Operations,27.0,3.0,4.0,0
KENT,ACKMANN,M,6-21-2014,01-07-2016,Analyst,22.0,42440,Marketing,19.0,11.0,3.0,0
ANTIONETTE,ARCHEY,F,7-23-2014,01-07-2016,Analyst,25.0,45236,Web,16.0,14.0,2.0,3
OTIS,ACTON,M,4-23-2013,01-07-2016,Analyst,24.0,41514,Operations,27.0,3.0,4.0,0
CHANCE,ALBERICO,M,01-02-2015,01-07-2016,Analyst,23.0,45084,IT,24.0,6.0,4.0,1
CONNIE,ALTIERI,F,12-21-2013,01-07-2016,Analyst,24.0,41676,Marketing,29.0,1.0,3.0,1
ANGELIA,ANHORN,F,09-08-2013,01-07-2016,Analyst,23.0,46127,Marketing,28.0,2.0,5.0,0
SHIRLEY,ALDRIDGE,M,3-17-2012,01-07-2016,Associate,29.0,99416,Management,20.0,10.0,5.0,4
TESSIE,ARGULEWICZ,F,5-27-2013,01-07-2016,Analyst,25.0,47899,Operations,15.0,15.0,3.0,1
DARCY,ANTONUCCI,F,12-08-2013,01-07-2016,Analyst,23.0,45927,Finance,15.0,15.0,3.0,0
CARMINE,ALARIE,M,11-11-2014,01-07-2016,Analyst,23.0,48891,Management,22.0,8.0,2.0,1
SANFORD,AITA,M,4-30-2013,01-07-2016,Analyst,22.0,41284,Finance,19.0,11.0,5.0,0
MICHEAL,ABLEMAN,M,4-20-2011,01-07-2016,Director,43.0,313649,IT,21.0,9.0,2.0,17
ROLLAND,ALEXANDERS,M,01-06-2013,01-07-2016,Analyst,22.0,49111,Marketing,22.0,8.0,2.0,0
KRIS,AHNELL,M,2-20-2012,01-07-2016,Senior Analyst,25.0,51509,Marketing,23.0,7.0,3.0,0
CHET,ALGER,M,12-23-2014,01-07-2016,Analyst,21.0,49393,IT,16.0,14.0,3.0,0
TYRELL,ALFREDO,M,7-14-2013,01-07-2016,Analyst,21.0,46580,Web,27.0,3.0,4.0,0
ANGELICA,AMSBAUGH,F,2-23-2014,01-07-2016,Analyst,25.0,44538,Finance,16.0,14.0,4.0,2
MARIE,ALPHONSO,F,12-27-2013,01-07-2016,Analyst,21.0,46507,Finance,22.0,8.0,2.0,0
